ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum,precpop,precinct,offpcap
MN006800,1006800,-73.983474,40.740474,38770.68287,0.127308808,0.048918537,109.0838108,34.4475192,1,126.3075704,0.333856397,0.908088104,0.091911896,0.579150579,0.277134277,0.081593366,0.20746335,1,6753,13,0.039018939
MN009100,1009100,-73.994186,40.74406,25156.64195,0.119199472,0.047082041,44.20231399,77.35404948,1,27.62644624,0.879493605,0.673570155,0.326429845,0.556317044,0.276221693,0.074236767,0.223808478,1,4553,13,0.039018939
MN006600,1006600,-73.978795,40.739313,66544.90278,0.159605027,0.080651844,22.47948747,0,0,73.05833427,0.799695309,0.276222939,0.723777061,0.608029421,0.266625805,0.130985559,0.347183515,1,11841,13,0.039018939
MN005000,1005000,-73.986581,40.736174,36008.52318,0.10808356,0.041346154,37.93698667,12.64566222,1,126.4566222,0.797634596,0.724925212,0.275074788,0.594994893,0.237231869,0.093590869,0.172783143,1,5695,13,0.039018939
MN006400,1006400,-73.980659,40.736747,41043.60673,0.087401145,0.029350502,106.3305874,0,0,67.15616046,0.999892632,0.494819083,0.505180917,0.576382009,0.291460273,0.11535315,0.185574039,1,7334,13,0.039018939
MN006000,1006000,-73.97711,40.734599,38224.18981,0.034093758,0.032446809,57.4943943,0,0,201.23038,0.049307749,0.012482757,0.987517243,0.600332594,0.194567628,0.434194034,0.058912008,1,3989,13,0.039018939
MN004401,1004401,-73.976303,40.731584,41108.11281,0.033770362,0.036862913,24.48206825,5.44045961,1,106.0889624,0.424894609,0.120821483,0.879178517,0.628726287,0.216802168,0.18634198,0.197657491,1,15112,13,0.039018939
MN005600,1005600,-73.988257,40.742445,15227.68028,0.12972973,0.036478599,111.7088515,82.31178528,1,141.1059176,0.332050518,0.908640882,0.091359118,0.536847492,0.296315251,0.023166023,0.243243243,1,2577,13,0.039018939
MN006200,1006200,-73.974445,40.738152,9441.025547,0.433566434,0.265229616,54.78351382,0,0,82.17527072,0,1,0,0.285714286,0.570153061,0.061411992,0.520793037,1,2103,13,0.039018939
MN009500,1009500,-73.99231,40.746598,16192.23748,0.074173972,0.298759305,11.89293976,35.67881927,1,53.5182289,0.370819427,0.896604518,0.103395483,0.475636364,0.321454546,0.035255233,0.218141755,1,2694,13,0.039018939
MN005400,1005400,-73.993747,40.739241,25400.92355,0.048786851,0.0352065,57.80235448,25.68993533,1,38.53490299,0.582178947,0.823195395,0.176804605,0.579781613,0.251497006,0.081415929,0.157774968,1,3955,13,0.039018939
MN005800,1005800,-73.990847,40.743551,3588.855302,0.067823344,0.050607287,79.24917071,39.62458536,1,50.94589546,0.490524621,0.85688772,0.14311228,0.585683297,0.321041215,0.042586751,0.216088328,1,659,13,0.039018939
MN004800,1004800,-73.983804,40.73386,37316.39077,0.071969697,0.04989011,40.80205176,11.65772907,1,134.0638844,0.997215613,0.473616356,0.526383644,0.586925961,0.249062793,0.110278038,0.218994064,1,6402,13,0.039018939
MN008700,1008700,-73.995963,40.74158,28235.89731,0.113705145,0.042102289,12.2074783,24.4149566,1,73.24486981,0.972646756,0.582694082,0.417305918,0.545698925,0.260454002,0.090358841,0.166018158,1,4626,13,0.039018939
MN004402,1004402,-73.973345,40.739182,17118.83015,0.042975207,0.040114613,28.29558702,0,0,79.22764366,0.999927489,0.495742322,0.504257679,0.484703059,0.332933413,0.11107438,0.269421488,1,2976,13,0.039018939
MN005200,1005200,-73.991225,40.738211,23509.52384,0.079012346,0.160433807,6.28428865,25.1371546,1,119.4014844,0.551390867,0.83489145,0.16510855,0.537740063,0.318892363,0.048650094,0.194600374,1,3741,13,0.039018939
MN010900,1010900,-73.988953,40.751668,928.2178218,0.20754717,0.117647059,40.86493555,58.37847936,1,64.21632729,0.017079445,0.99571175,0.00428825,0.720588235,0,0.06918239,0.333333333,1,208,14,0.727919321
MN008400,1008400,-73.984251,40.752141,6759.868227,0.165065502,0.054568528,100.3648558,41.32670532,1,53.13433541,0.189094605,0.950251428,0.049748572,0.50473613,0.364005413,0.041921397,0.534497817,1,1041,14,0.727919321
MN011900,1011900,-73.985939,40.757601,8197.429093,0.420646067,0.199743918,40.29635088,34.53972932,1,63.32283709,0.046010244,0.988361996,0.011638004,0.46921797,0.404326123,0.188904494,0.410814607,1,1405,14,0.727919321
MN007400,1007400,-73.983518,40.746119,21845.31726,0.08026534,0.052071006,111.8160097,29.42526571,1,105.9309566,0.367505821,0.897647513,0.102352487,0.541331073,0.347604917,0.081627155,0.199622845,1,3712,14,0.727919321
MN011300,1011300,-73.987311,40.754993,1662.971175,0.412935323,0.37254902,57.74205469,98.16149298,1,57.74205469,0.008236461,0.997936627,0.002063373,0.296875,0.421875,0.024305556,0.378472222,1,322,14,0.727919321
MN010100,1010100,-73.990486,40.74903,1461.348227,0.218623482,0.287671233,70.99667499,88.74584374,1,59.16389582,0.005293113,0.998674966,0.001325034,0.5,0.205128205,0.060728745,0.303643725,1,239,14,0.727919321
MN007600,1007600,-73.987152,40.747652,14074.77765,0.246625767,0.037995595,109.3745503,46.05244222,1,69.07866333,0.308824545,0.915684813,0.084315187,0.44359577,0.369565217,0.030674847,0.513292434,1,2493,14,0.727919321
MN007000,1007000,-73.978334,40.743973,44395.26252,0.086564473,0.035026591,57.18828098,0,0,45.75062478,0.823112173,0.289709827,0.710290173,0.44422928,0.423896205,0.103697024,0.190519129,1,7763,17,0.025786108
MN009800,1009800,-73.969112,40.756517,40213.53123,0.079960374,0.031694819,51.22017847,17.07339283,1,56.91130942,0.945445625,0.61678439,0.38321561,0.402747362,0.472028668,0.128502689,0.14633456,1,7066,17,0.025786108
MN008000,1008000,-73.978635,40.749828,32049.07217,0.089574429,0.048832841,35.66291414,35.66291414,1,124.8201995,0.519960626,0.846424369,0.153575631,0.460921844,0.407672488,0.159866469,0.12648368,1,5392,17,0.025786108
MN008800,1008800,-73.972162,40.748745,41105.39659,0.089857046,0.025047801,44.77102419,0,0,72.75291431,0.576613077,0.825340945,0.174659055,0.374076293,0.486918314,0.120626276,0.260857726,1,7345,17,0.025786108
MN010800,1010800,-73.96481,40.759692,44605.78622,0.056589725,0.032298358,71.77561838,0,0,55.21201413,0.951932179,0.609621874,0.390378126,0.449036843,0.381335328,0.169080332,0.10743904,1,8079,17,0.025786108
MN007800,1007800,-73.974356,40.746396,42844.19874,0.07964128,0.021953897,45.8778731,0,0,80.28627793,0.978604192,0.42686347,0.57313653,0.44632339,0.425042751,0.092490965,0.215232231,1,7471,17,0.025786108
MN008200,1008200,-73.980257,40.750505,15496.02501,0.09973555,0.025562372,70.25020782,23.41673594,1,122.9378637,0.288481482,0.921757785,0.078242215,0.432316747,0.417335474,0.178315074,0.120136003,1,2764,17,0.025786108
MN009000,1009000,-73.971386,40.753387,42781.86261,0.0598763,0.045110193,22.51973292,0,0,67.55919875,0.719148805,0.764976978,0.235023022,0.355325336,0.493093421,0.090406633,0.247269378,1,7599,17,0.025786108
MN008600,1008600,-73.96592,40.750513,21646.46588,0.030824274,0.050257732,29.78734812,0,0,89.36204437,0.986155997,0.441169729,0.558830271,0.361779392,0.393781207,0.159075272,0.162377873,1,7267,17,0.025786108
MN010601,1010601,-73.961766,40.75845,60714.58506,0.026775613,0.03286385,60.95841874,0,0,60.95841874,0.288817841,0.078341916,0.921658084,0.435078757,0.322903363,0.31375502,0.05496988,1,7968,17,0.025786108
MN010000,1010000,-73.970613,40.757941,10758.38989,0.042951542,0.010736196,47.13423831,70.70135747,1,117.8355958,0.146344688,0.961967345,0.038032655,0.482170543,0.442635659,0.156626506,0.103504929,1,1822,17,0.025786108
MN007200,1007200,-73.980281,40.744785,47207.47777,0.081286402,0.028616601,34.92107836,40.74125809,1,98.94305536,0.898292444,0.65945811,0.34054189,0.516425756,0.355289093,0.085562816,0.156700777,1,8111,17,0.025786108
MN011201,1011201,-73.97552,40.764073,14589.566,0.104743083,0.013831259,109.2851386,54.64256929,1,81.96385394,0.394155823,0.889179964,0.110820036,0.288920056,0.532959327,0.161985019,0.128277154,1,1041,18,0.093729627
MN012900,1012900,-73.9957,40.762582,14854.58702,0.218559494,0.059272097,33.32866732,0,0,59.99160118,0.662634849,0.790415716,0.209584284,0.482564679,0.388826397,0.038366614,0.374018398,1,4457,18,0.093729627
MN011203,1011203,-73.969863,40.761765,16290.11024,0.049795918,0.010973937,212.7687868,26.59609835,1,106.3843934,0.464922024,0.865745122,0.134254878,0.466019418,0.418862691,0.273469388,0.08,1,1255,18,0.093729627
