"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"12234","BX023200",11,"K4",2,"BX","12234",-73.8659797086235,40.8457491285927
"12235","BX023200",39,"M1",2,"BX","12235",-73.8665187547929,40.8472977694735
"12236","BX023200",1,"M1",2,"BX","12236",-73.8647830186085,40.8459151592969
"12237","BX023200",26,"M1",2,"BX","12237",-73.865474888405,40.8469479788442
"12238","BX023200",1,"K1",2,"BX","12238",-73.8637744720789,40.8459825903941
"12239","BX023200",4,"K4",2,"BX","12239",-73.8639769605454,40.8459416587052
"12240","BX023200",5,"K1",2,"BX","12240",-73.8634164642566,40.8460727424572
"12241","BX023200",3,"M1",2,"BX","12241",-73.8612180244523,40.8465037825118
"12242","BX023200",82,"K2",2,"BX","12242",-73.8599595232723,40.8468316266446
"12243","BX025200",17,"M1",2,"BX","12243",-73.8534126628962,40.844073293369
"12244","BX025600",10,"K4",2,"BX","12244",-73.8530070780362,40.8427937418577
"12245","BX025600",15,"K4",2,"BX","12245",-73.8533178498026,40.8428160951644
"12246","BX025600",20,"K5",2,"BX","12246",-73.8538458048772,40.8426877639018
"12247","BX025600",37,"K1",2,"BX","12247",-73.8511671063144,40.8429478309548
"12248","BX025600",39,"K1",2,"BX","12248",-73.8513478161344,40.8429480639842
"12249","BX025600",31,"K2",2,"BX","12249",-73.850512831925,40.8429936449799
"12250","BX025800",1,"K4",2,"BX","12250",-73.8419339372203,40.8409511207252
"12251","BX025800",4,"K2",2,"BX","12251",-73.8422553827235,40.8410393915953
"12252","BX025800",6,"K2",2,"BX","12252",-73.8422549466699,40.8412232867548
"12253","BX025800",7,"K1",2,"BX","12253",-73.842439447894,40.8411466869755
"12254","BX025800",18,"K1",2,"BX","12254",-73.8417386393893,40.8410084918952
"12255","BX025800",6,"K4",2,"BX","12255",-73.8441667689325,40.8427848820908
"12256","BX025800",7,"K2",2,"BX","12256",-73.8443800509136,40.8427659570541
"12257","BX025800",1,"K2",2,"BX","12257",-73.8445526724169,40.843133981197
"12258","BX025800",2,"K2",2,"BX","12258",NA,NA
"12259","BX025800",3,"K2",2,"BX","12259",NA,NA
"12260","BX025800",7,"K1",2,"BX","12260",-73.8448738887266,40.8433265434504
"12261","BX025800",8,"K4",2,"BX","12261",-73.8447507043064,40.8434553791629
"12262","BX019800",12,"K5",2,"BX","12262",-73.8453519798428,40.8428907762683
"12263","BX019800",3,"K1",2,"BX","12263",-73.8458679509135,40.8432620029613
"12264","BX019800",47,"K1",2,"BX","12264",-73.8458564532062,40.8435446928819
"12265","BX025600",10,"M1",2,"BX","12265",-73.8487480795059,40.8434414770762
"12266","BX025600",1,"K5",2,"BX","12266",-73.8467830341268,40.844534023397
"12267","BX025800",2,"K1",2,"BX","12267",-73.8455909389941,40.8442661968274
"12268","BX025800",18,"K1",2,"BX","12268",-73.8468136981169,40.8453437537873
"12269","BX025600",1,"I6",2,"BX","12269",-73.8485910345973,40.8457468281061
"12270","BX028600",3,"K2",2,"BX","12270",-73.847837831255,40.8463661414966
"12271","BX024400",47,"I5",2,"BX","12271",-73.8573663315428,40.8442319537876
"12272","BX024400",1,"K2",2,"BX","12272",-73.859031178826,40.8465670038034
"12273","BX024400",7,"K2",2,"BX","12273",-73.8570812516507,40.8473880171575
"12274","BX025200",4,"K4",2,"BX","12274",-73.8565385295152,40.8476453461204
"12275","BX025200",8,"K4",2,"BX","12275",-73.8563212177588,40.8478509288227
"12276","BX025200",8,"K4",2,"BX","12276",-73.8555471921757,40.8480942412394
"12277","BX025200",5,"K4",2,"BX","12277",-73.8548703928405,40.8485023533389
"12278","BX025400",1,"K2",2,"BX","12278",-73.8543423996021,40.8486279444612
"12279","BX025400",3,"K4",2,"BX","12279",-73.8541904339533,40.8486991149015
"12280","BX025400",4,"K2",2,"BX","12280",-73.8541684941669,40.8488143649257
"12281","BX025400",6,"K1",2,"BX","12281",-73.854012913387,40.8488855305604
"12282","BX025400",7,"K4",2,"BX","12282",-73.8538467058112,40.8488578730169
"12283","BX025400",23,"M1",2,"BX","12283",-73.849782958456,40.8477081091847
"12284","BX025400",25,"M1",2,"BX","12284",-73.8497942666577,40.8475022707123
"12285","BX025400",2,"K4",2,"BX","12285",-73.853510041876,40.8490907462038
"12286","BX025400",29,"M1",2,"BX","12286",-73.8526623538723,40.8483101693816
"12287","BX028600",7,"K1",2,"BX","12287",-73.8489191636264,40.8508633959353
"12288","BX028600",8,"K1",2,"BX","12288",-73.8487421280768,40.8508274827457
"12289","BX028600",1,"K1",2,"BX","12289",-73.8482215845952,40.8508432672963
"12290","BX024400",32,"K1",2,"BX","12290",-73.8592613966676,40.8470887796573
"12291","BX024400",42,"P5",2,"BX","12291",-73.8597049170005,40.8475888569458
"12292","BX024400",38,"K2",2,"BX","12292",-73.8585196812755,40.8474446845094
"12293","BX024400",40,"K2",2,"BX","12293",-73.8585813835263,40.8473239929758
"12294","BX024400",33,"K4",2,"BX","12294",-73.8573911400623,40.847833043519
"12295","BX025200",40,"K2",2,"BX","12295",-73.8570652722714,40.8480961322429
"12296","BX025200",33,"K2",2,"BX","12296",-73.8559400882398,40.8485942695379
"12297","BX025200",43,"M1",2,"BX","12297",-73.8555705864645,40.8489725772692
"12298","BX025400",33,"K4",2,"BX","12298",-73.854196399554,40.8492755112076
"12299","BX025000",34,"K2",2,"BX","12299",-73.8519782737733,40.8503568460564
"12300","BX025800",10,"K4",2,"BX","12300",-73.8417188710396,40.8417220900701
"12301","BX025800",61,"K2",2,"BX","12301",-73.8409279805802,40.8414684885026
"12302","BX025800",10,"K1",2,"BX","12302",-73.8446160339817,40.8454066874111
"12303","BX026602",3,"K1",2,"BX","12303",-73.836267751672,40.8435946089958
"12304","BX026602",50,"M1",2,"BX","12304",-73.8342462274884,40.8440610675514
"12305","BX026602",9,"K1",2,"BX","12305",-73.833399899108,40.8457396117366
"12306","BX026602",14,"K1",2,"BX","12306",-73.8331641818153,40.8460521681146
"12307","BX026602",15,"K1",2,"BX","12307",-73.8330916466148,40.8461508727777
"12308","BX026602",18,"K4",2,"BX","12308",-73.8328128642115,40.8463398541119
"12309","BX026602",20,"K2",2,"BX","12309",-73.8327439425607,40.8464385637899
"12310","BX026601",1,"K2",2,"BX","12310",-73.8329018378593,40.8468916698881
"12311","BX026601",3,"K1",2,"BX","12311",-73.8330107042258,40.8467189107675
