"","BoroCT2000","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"1207",3065000,NA,7759.396804,0.113125453,0.084791386,33.76097232,0,0,101.282917,0.975283999,0.421393383,0.578606618,0.399403875,0.126676602,0.118926759,0.502538071,0.019976862,1405.79536585366,45440.9765562914,5.64150943396226,-73.933336,40.619673
"1208",3065200,NA,6508.301513,0.073743922,0.007797271,31.64490201,0,0,47.46735301,0.971073228,0.414960639,0.585039361,0.34215886,0.097759674,0.175040519,0.036466775,0.019976862,1045.497,28749.9895209581,5.36206896551724,-73.930223,40.614473
"1209",3065400,NA,12266.92082,0.06641604,0.018229167,23.05812184,0,0,38.43020307,0.105256705,0.027045643,0.972954357,0.266937669,0.006775068,0.138471178,0.078320802,0.019976862,1222.8158490566,47500.3330845771,5.77464788732394,-73.932315,40.613176
"1210",3065600,NA,11807.86206,0.044613711,0,32.12149635,0,0,64.2429927,0.333837381,0.091906071,0.908093929,0.339491917,0.038106236,0.162132753,0.092491839,0.019976862,1490.82587301587,42355.665917603,5.46236559139785,-73.935444,40.613898
"1211",3065800,NA,11848.24953,0.090909091,0.04233871,12.899564,0,0,38.69869198,0.317493687,0.086930299,0.913069702,0.280213904,0.037433155,0.133369624,0.068045727,0.019976862,1754.73508196721,32950.8095255474,5.71276595744681,-73.931565,40.608113
"1212",3066000,NA,12058.65748,0.024009604,0.026097272,21.71426917,0,0,72.38089723,0.03768451,0.009511598,0.990488402,0.342331288,0.050306749,0.12244898,0.080432173,0.019976862,1531.74903846154,30299.7911469534,5.42268041237113,-73.927521,40.60797
"1213",3066200,NA,6015.588451,0.077769626,0.097039474,30.89443812,0,0,75.02934972,0.974032793,0.580571718,0.419428282,0.276951673,0.072490706,0.21570066,0.081438004,0.019976862,1562.7634,32583.7859745763,5.81481481481481,-73.924775,40.609748
"1214",3066600,NA,0,NA,NA,3.99719068,0,0,9.170025678,0,1,0,NA,NA,NA,NA,0.022735344,NA,NA,NA,-73.919857,40.584591
"1215",3067000,NA,12216.47433,0.121742671,0.053797468,29.844807,0,0,134.3016315,0.561557091,0.168924892,0.831075108,0.365499573,0.034158839,0.17019544,0.401058632,0.019976862,1514.13762886598,42159.266816609,5.64356435643564,-73.923006,40.612648
"1216",3067200,NA,7327.659715,0.065909091,0.063962559,38.50872223,0,0,60.51370635,0.971880275,0.583844685,0.416155315,0.393939394,0.065656566,0.057057057,0.575075075,0.019976862,1656.14615384615,42548.804893617,5.5625,-73.927143,40.617522
"1217",3067400,NA,9963.369963,0.089607635,0.078074866,26.16431188,0,0,62.79434851,0.723515404,0.237090987,0.762909013,0.544483986,0.06405694,0.074054622,0.597163866,0.019976862,1530.56468085106,65878.99375,5.74468085106383,-73.930318,40.619806
"1218",3067600,NA,11906.79035,0.083571837,0.052752294,27.26225609,0,0,88.60233229,0.738804913,0.244463757,0.755536243,0.398252185,0.033707865,0.070406411,0.710360618,0.019976862,1630.75111111111,64446.7912962963,5.50909090909091,-73.927805,40.624464
"1219",3067800,NA,15756.05691,0.081050228,0.076086957,5.995455445,0,0,47.96364356,0.041543779,0.010496113,0.989503887,0.447189097,0.015332198,0.157914764,0.667047184,0.019976862,1961.9440625,60922.7392760181,5.94736842105263,-73.923219,40.624743
"1220",3068000,NA,10928.4894,0.082485876,0.08974359,24.69715118,0,0,55.56859016,0.980700482,0.430538647,0.569461353,0.428165007,0.045519203,0.119774011,0.52259887,0.019976862,1608.7568627451,43401.9532298137,5.57894736842105,-73.925056,40.622362
"1221",3068200,NA,11660.59776,0.064501779,0.059730251,15.56129595,0,0,51.87098648,0.500280488,0.146545791,0.853454209,0.293209877,0.067901235,0.159252669,0.383007117,0.019976862,1955.974,36000.3057246377,5.77551020408163,-73.924252,40.615549
"1222",3068600,NA,9973.774406,0.110885734,0.008915305,40.2438779,0,0,114.0243207,0.160278575,0.041818424,0.958181576,0.368584759,0.032659409,0.243443174,0.121721587,0.019976862,1646.46801886792,61803.0536474164,6.13675213675214,-73.916798,40.614892
"1223",3068800,NA,10582.21795,0.045653534,0.051347882,26.12893322,0,0,78.38679966,0.527287567,0.156229571,0.84377043,0.314917127,0.087016575,0.182716049,0.312345679,0.019976862,1682.8749122807,31060.4614537445,5.65822784810127,-73.918495,40.616098
"1224",3069000,NA,10027.16891,0.071925754,0.045454546,23.02449807,0,0,46.04899613,0.949811157,0.612014332,0.387985668,0.370700637,0.091719745,0.117106774,0.460390356,0.019976862,1318.72340425532,42990.211686747,5.28813559322034,-73.920793,40.620361
"1225",3069200,NA,13556.1196,0.076826197,0.083623693,11.38213233,0,0,56.91066164,0.287024099,0.077810499,0.922189502,0.398648649,0.025096525,0.165407221,0.570948783,0.019976862,1776.15759259259,50431.4764676617,5.66197183098592,-73.920073,40.622702
"1226",3069600,NA,6644.566428,0.110997049,0.07766213,11.08422476,0,0,63.09481787,0.775271957,0.262972553,0.737027447,0.236654804,0.03054567,0.129090209,0.097138458,0.019976862,1558.35075313808,35011.6184414327,5.65555555555556,-73.912686,40.622904
"1227",3069800,NA,7005.869939,0.044444444,0.014634146,28.83074049,0,0,80.72607337,0.949155893,0.387256811,0.612743189,0.260726073,0.176567657,0.118518519,0.102057613,0.019976862,1457.69225,32014.7739759036,6.25,-73.913637,40.61678
"1228",3070000,NA,8438.451921,0.041189931,0.006451613,33.7924276,0,0,72.41234486,0.359620588,0.099881451,0.900118549,0.22987013,0.083116883,0.187643021,0.020022883,0.019976862,1334.78044776119,39259.6889225589,5.78846153846154,-73.907516,40.619727
"1229",3070201,NA,6321.1457,0.036450323,0.022250477,0.97218482,0,0,73.88604633,0.206068338,0.054485785,0.945514215,0.183733948,0.004939085,0.194247924,0.034604737,0.019976862,1810.5884516129,42019.5102172285,5.93899782135076,-73.908949,40.609258
"1230",3070202,NA,32.22492573,0.038461539,0.069230769,2.478840441,0,0,4.957680882,0.01766288,0.995564607,0.004435393,0.099173554,0,0.17032967,0.098901099,0.019976862,1893.306875,52059.2484693877,6.44444444444444,-73.90628,40.5966
"1231",3070203,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.854316,40.623491
"1232",3070600,NA,1945.209711,0.038538206,0.048812665,0,0,0,18.74122313,0.485774836,0.141452526,0.858547474,0.219928826,0.027758007,0.156478405,0.015946844,0.019976862,1206.37690265487,32055.4818410042,5.50617283950617,-73.902009,40.616159
"1233",3072000,NA,9682.564504,0.157622739,0.094555874,18.76465989,0,0,56.29397967,0.7673488,0.25883035,0.74116965,0.47107438,0.00661157,0.089793282,0.703488372,0.019976862,1742.5846031746,50236.3790506329,6.01785714285714,-73.921665,40.629049
