ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum
MN011900,1011900,-73.985939000,40.757601000,8197.4290928,0.4206460674,0.1997439181,40.296350878,34.539729324,1,63.322837093,0.0460102437,0.9883619959,0.0116380041,0.46921797,0.4043261231,0.1889044944,0.4108146067,1
MN012000,1012000,-73.964196000,40.766735000,24119.765433,0.0353089533,0.0889370933,36.499014527,36.499014527,1,97.330705404,0.9992177611,0.5139842669,0.4860157331,0.5157142857,0.269047619,0.2617906683,0.0736443884,1
MN012100,1012100,-73.992987000,40.760648000,47108.307045,0.1341698842,0.0770587198,62.523090914,22.735669423,1,45.471338847,0.9732757181,0.5817378154,0.4182621846,0.4560994561,0.378010878,0.1293436293,0.2753378378,1
MN012200,1012200,-73.967387000,40.768036000,22252.038159,0.0344915687,0.0261121857,45.481937985,0,0,90.963875971,0.8930387775,0.3364753669,0.6635246331,0.3671013039,0.3475426279,0.2567705672,0.0516096065,1
MN012400,1012400,-73.953094000,40.766247000,61158.204184,0.0867040836,0.030036323,51.374261495,0,0,45.666010218,0.9988866411,0.5166835165,0.4833164835,0.5225448709,0.3229242667,0.1085495613,0.1684711592,1
MN012500,1012500,-73.984411000,40.760382000,10390.377179,0.0911123533,0.0316558442,40.519576744,98.404686378,1,75.250642525,0.2225208326,0.9408738956,0.0591261044,0.4135273973,0.4863013699,0.0857938719,0.3381615599,1
MN012600,1012600,-73.957643000,40.768117000,72186.301677,0.0514928267,0.0278252936,44.784056876,0,0,55.980071095,0.5856970293,0.1781681453,0.8218318547,0.6089598475,0.2267365662,0.1668088406,0.0789453276,1
MN012700,1012700,-73.988804000,40.761371000,42256.2197,0.1440561365,0.0613459171,46.448166749,23.224083374,1,40.642145905,0.7979526819,0.7247483693,0.2752516307,0.4608017817,0.4309576837,0.068562792,0.3634240176,1
MN012800,1012800,-73.962484000,40.771816000,37724.163011,0.0519656575,0.0314540059,34.09323363,22.72882242,1,96.597495284,0.8982329312,0.340495244,0.659504756,0.5544771446,0.2044458359,0.2212682633,0.051212532,1
MN012900,1012900,-73.995700000,40.762582000,14854.587024,0.2185594942,0.0592720971,33.32866732,0,0,59.991601176,0.6626348486,0.7904157156,0.2095842844,0.4825646794,0.3888263967,0.0383666143,0.374018398,1
MN013000,1013000,-73.964128000,40.772474000,25203.668764,0.0311755791,0.0116189001,21.81191585,0,0,92.700642361,0.8780193032,0.3253713248,0.6746286752,0.5038539554,0.1744421907,0.2691475552,0.0577672003,1
MN013100,1013100,-73.982710000,40.762920000,12018.850804,0.1514856308,0.0706134094,17.562860405,64.397154817,1,76.10572842,0.1732821107,0.9546201407,0.0453798593,0.3894080997,0.4976635514,0.1982464686,0.2221139795,1
MN013200,1013200,-73.950667000,40.770242000,48048.077829,0.0641898865,0.0347705146,34.709653746,0,0,74.377829457,0.8281873433,0.2927485484,0.7072514516,0.690647482,0.1156951989,0.0971104231,0.1168214654,1
MN013300,1013300,-73.989322000,40.765630000,34190.702249,0.1595176572,0.0704529116,11.779742377,5.8898711885,1,41.22909832,0.9888538149,0.5527877474,0.4472122526,0.4484023049,0.4319015191,0.0962962963,0.2818260121,1
MN013400,1013400,-73.955314000,40.771344000,58755.481127,0.0455653478,0.0209600207,27.543353238,0,0,60.595377124,0.7291237489,0.2397711339,0.7602288661,0.7067057726,0.1581122517,0.1090380649,0.1025689106,1
MN013500,1013500,-73.992143000,40.767585000,11146.587967,0.2616262482,0.1327077748,34.982159099,0,0,76.324710761,0.760881348,0.7444987996,0.2555012004,0.5481832543,0.3238546603,0.1557774608,0.5012838802,1
